id,title,date,summary,author,link,picture_link,identifier,category,posts,scraped_date
65578750,Česká policie zmírní bezpečnostní opatření zavedená po atentátu v Berlíně. Zmizí i betonové zátarasy,2017-01-06T12:00:00+01:00,"Opatření, která česká policie zavedla v souvislosti s teroristickým útokem na berlínských vánočních trzích, policie postupně utlumí.
Počet policejních hlídek v ulicích se vrátí na úroveň před atentátem.
Postupně budou odstraněny i betonové zátarasy.",ČTK,http://domaci.ihned.cz/c1-65578750-ceska-policie-zmirni-bezpecnostni-opatreni-zavedena-po-atentatu-v-berline-zmizi-i-betonove-zatarasy?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/970/66761970/OBtI64wUfuS931RdNibgGFsxayPTnzvL/CR_NEMECKO_POLICIE_TERORISMUS_BRNO_692.jpg,https://domaci.ihned.cz/65578750,domaci,0,2017-01-11T04:09:49.994417+00:00
65578780,Zdravotní sestry si od července polepší o 2000 korun měsíčně. Ministr Ludvík získal na jejich platy 600 milionů,2017-01-06T11:30:00+01:00,"Od 1. července by každá sestra ve státním zdravotnickém zařízení měla získat dva tisíce k platu navíc.
Ministr zdravotnictví Miloslav Ludvík dojednal také nárůst plateb za státní pojištěnce po následující tři roky.
Na jednání ministrů prošel i Ludvíkův záměr snížit limit u dětí a důchodců, nad který doplatky pojišťovny proplácejí.",Markéta Šrajbrová,http://domaci.ihned.cz/c1-65578780-zdravotni-sestry-si-od-cervence-polepsi-o-2000-korun-mesicne-ministr-ludvik-ziskal-na-jejich-platy-600-milionu?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/80/66762080/zDtCJ1S7wbFPQWgIG0Nfph2s6oTKmMaE/ludvik.jpg,https://domaci.ihned.cz/65578780,domaci,2,2017-01-11T04:09:49.994417+00:00
65578740,"Ministerstvo dopravy letos investuje do oprav nádraží 600 milionů. A otevře se 40 kilometrů nových dálnic, slíbil Ťok",2017-01-06T11:20:00+01:00,"""Na rok 2017 počítáme s částkou 470 milionů korun na opravy a 123 milionů na rekonstrukce nádraží. Dalších zhruba 120 milionů chceme získat na přípravu staveb na roky příští,"" řekl ministr dopravy Dan Ťok.
V příštích letech by se mělo opravit dvě stě nejvíce poškozených a zároveň nejvíce frekventovaných nádraží.
Ministr se na tiskové konferenci věnované prioritám letošního roku zabýval i silnicemi a dálnicemi.",ČTK,http://domaci.ihned.cz/c1-65578740-szdc-letos-investuje-do-oprav-nadrazi-600-milionu-rekonstruuje-ta-ktera-jsou-nejposkozenejsi-zaroven-ale-nejfrekventovanejsi?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/920/61846920/LEyqPt91gaJQMS7Wok4xR3c8f0pD2iKI/tok.jpg,https://domaci.ihned.cz/65578740,domaci,1,2017-01-11T04:09:49.994417+00:00
65578600,ČSSD je v exekuci kvůli dluhu vůči Altnerovi. Nesmí nakládat s Lidovým domem,2017-01-06T08:10:00+01:00,"Exekutor zablokoval majetek ČSSD kvůli dluhu vůči právníkovi Zdeňku Altnerovi.
Sociální demokraté nesmějí nakládat s Lidovým domem a Lannovým palácem.
""Je to jen technická poznámka,"" říká zástupce právníků ČSSD.",ČTK,http://domaci.ihned.cz/c1-65578600-cssd-je-v-exekuci-kvuli-dluhu-vuci-altnerovi-nesmi-nakladat-s-lidovym-domem?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/540/64177540/g4wsSDQjdhrv7l2aOItWL3EFqRJuUPGx/UPR_LIDOVY_DUM_AAA_3132.jpg,https://domaci.ihned.cz/65578600,domaci,13,2017-01-11T04:09:49.994417+00:00
65578490,"Je čas snížit daně. Nabízí se úprava zdravotních a sociálních odvodů nebo DPH, říká Babiš",2017-01-06T00:00:00+01:00,"Snížení daní bude jedno z hlavních témat Babišova hnutí ANO před podzimními sněmovními volbami.
""Chceme mít nízké daně. Prostor na snižování je,"" prohlásil Andrej Babiš v rozhovoru pro Hospodářské noviny.
Variant je podle ministra financí několik: například pokles odvodů za sociální a zdravotní pojištění nebo snížení DPH.",Martin Ťopek,http://archiv.ihned.cz/c1-65578490-babis-je-cas-snizit-dane?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/680/65838680/Ed2zIm5WnqyAlCL483owhiTOJ0faNbV7/_MG_6307.jpg,https://domaci.ihned.cz/65578490,domaci,148,2017-01-11T04:09:49.994417+00:00
65578230,"Snížení dluhu je jediná možnost, jak naložit s přebytkem. Ministrům ale v investicích bránit nebudu, říká Babiš",2017-01-06T00:00:00+01:00,"Podle ministra financí Andreje Babiše je v Česku prostor pro snižování daní. Mimo jiné by mohly klesnout odvody na sociální pojištění.
Stát by však měl zajistit, že se firmy po snížení nákladů na práci rozdělí o ušetřené peníze se svými zaměstnanci.",Janis Aliapulios,http://archiv.ihned.cz/c1-65578230-mame-drahou-praci-pripousti-ministr-financi-andrej-babis-a-slibuje-danovou-reformu?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/980/66759980/jocDfb3tI24kW19KvSzs05RhgFAUlxpE/_LB_9749.jpg,https://domaci.ihned.cz/65578230,domaci,25,2017-01-11T04:09:49.994417+00:00
65578210,"Krotitelé bludů: Jednotka odborníků, která má čelit dezinformacím, se zatím více potýká s nedůvěrou politiků",2017-01-06T00:00:00+01:00,"Ministerstvo vnitra zakládá jednotku odborníků, jež má čelit dezinformacím. Postupem Česka se inspirují i další západní státy.
Proti specialistům, kteří vyvrací dezinformace, ale stojí prezident nebo vicepremiér Andrej Babiš.",Adéla Skoupá,http://archiv.ihned.cz/c1-65578210-krotitele-bludu-jednotka-odborniku-ktera-ma-celit-dezinformacim-se-zatim-vice-potyka-s-neduverou-politiku?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/470/66759470/uJx7dnkR6UrpmtAcSi4j8FWhH92ywKNO/005-02f-Romancovova02_Libor_FojtA-k.jpg,https://domaci.ihned.cz/65578210,domaci,42,2017-01-11T04:09:49.994417+00:00
65578150,Japonsko hledá spojence i v EU. Ministr zahraničí po 15 letech míří do Česka,2017-01-06T00:00:00+01:00,"Do Česka poprvé za patnáct let přijíždí japonský ministr zahraničí v době, kdy se mění situace ve světě a Japonsko hledá novou roli.
Japonsko je druhý největší zahraniční investor v Česku, japonské firmy sem přesouvají i část výzkumu a vývoje.
Tokio má obavy z nástupu Donalda Trumpa a bojí se omezení spojenectví i obchodních vazeb s USA.",Martin Ehl,http://archiv.ihned.cz/c1-65578150-japonsko-hleda-spojence-i-v-eu?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/880/66760880/aTe7wsPGpV8OdxCWftNAlBz9U3ok25iF/jarvis_586e85c3498eab70108bf1b6.jpg,https://domaci.ihned.cz/65578150,domaci,0,2017-01-11T04:09:49.994417+00:00
65578110,Podnikatel Kočka chtěl ovládnout svoz odpadu z pětiny Prahy. Městská firma ale kritizovanou smlouvu pozastavila,2017-01-06T00:00:00+01:00,"Jan Kočka, syn vlivného sociálního demokrata a pořadatele Matějské pouti, zatím nezískal část svozu komunálního odpadu v Praze.
Proti připravované dohodě se postavila část představenstva.
Kočka se také zajímá o tendr na úklid chodníků a ulic Prahy.",Kateřina Frouzová,http://archiv.ihned.cz/c1-65578110-podnikatel-kocka-chtel-odpad-v-praze-mestska-firma-kritizovanou-smlouvu-pozastavila?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/810/66760810/45vAG0WfRoF7uq8yhjUiOp3rC1LsTQgN/jarvis_586e844d498e711a2f0edb6c.jpg,https://domaci.ihned.cz/65578110,domaci,10,2017-01-11T04:09:49.994417+00:00
65577930,Chovanec již není vyšetřován kvůli reformě policie,2017-01-06T00:00:00+01:00,"""Ve věci nelze spatřovat podezření ze spáchání trestného činu,"" uvedl náměstek pražské vrchní státní zástupkyně Adam Bašný.
Oznámení se kromě ministra vnitra Milana Chovance týkalo rovněž policejního prezidenta Tomáše Tuhého a jeho exnáměstka Zdeňka Laubeho. 
Trestní oznámení podal bývalý detektiv ÚOOZ Jiří Komárek.",ČTK,http://archiv.ihned.cz/c1-65577930-chovanec-jiz-neni-vysetrovan-kvuli-reforme-policie?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/410/66755410/V840OIS7QRpyfdDoxFhmlMnciP3JTvqw/jarvis_586e793a498e711a2f0e7f5e.jpeg,https://domaci.ihned.cz/65577930,domaci,0,2017-01-11T04:09:49.994417+00:00
65577890,Praktičtí lékaři se hádají se specialisty o diabetiky. Chtějí předepisovat více léků na cukrovku,2017-01-06T00:00:00+01:00,"Okruh léků na cukrovku, které mohou předepisovat praktičtí lékaři, by se brzy mohl mírně rozšířit.
Praktici by si přitom představovali podstatně větší rozvolnění pravidel pro předpis antidiabetik.
Proti tomu jsou ale diabetologové, podle nichž ""obvodní"" lékaři nemají dostatek zkušeností. Řadu léků navíc mohou po dohodě se specialistou předepisovat už teď.",Markéta Šrajbrová,http://archiv.ihned.cz/c1-65577890-prakticti-lekari-se-hadaji-se-specialisty-o-diabetiky?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/20/66761020/QGhe0s3bnyiPvDuVCTI6OBlpL4t9mwqa/jarvis_586e772d498eab70102ed0e2.jpg,https://domaci.ihned.cz/65577890,domaci,3,2017-01-11T04:09:49.994417+00:00
65577780,Z růstu českého trhu nejvíce těží Renault a Dacia,2017-01-06T00:00:00+01:00,"Prodej aut byl loni rekordní, nejvíce se dařilo luxusu. 
Trojice nejsilnějších značek Škoda, Volkswagen i Hyundai mírně ztratila svůj podíl na trhu. 
Trh výrazně změnila nová generace Škody Superb, přitáhla zákazníky k větším autům.",Roman Šitner,http://archiv.ihned.cz/c1-65577780-z-rustu-ceskeho-trhu-nejvice-tezi-renault-a-dacia?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/400/66753400/1UMt0Be5oQkJy8wj9D4R6mivKz2VbHAp/jarvis_586e7372498e711a2f0e442b.jpeg,https://domaci.ihned.cz/65577780,domaci,0,2017-01-11T04:09:49.994417+00:00
65577720,"Luxusní hotely se mění na ""hodinové"". Do Prahy míří úspěšný start-up Dayuse",2017-01-06T00:00:00+01:00,"Hotely mají přes den obvykle prázdné pokoje, a tak je začínají pronajímat jen na pár hodin. 
Služba se rozjela na Západě, v Česku je ale jen ojedinělá. To se může změnit, do Prahy přijde start-up Dayuse. 
Lidé si pokoje na pár hodin přes den pronajímají kvůli čekání na letadlo nebo vlak, ale i kvůli sexu.",Ondřej Houska,http://archiv.ihned.cz/c1-65577720-luxusni-hotely-se-meni-na-hodinove-do-prahy-miri-uspesny-start-up-dayuse?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/90/66753090/wvhxcbzAn81K6SkQ5NfuPBCtEJR40LaF/jarvis_586e71f4498eab70100d2d4c.jpeg,https://domaci.ihned.cz/65577720,domaci,2,2017-01-11T04:09:49.994417+00:00
65578420,Ministři se dohodli na zvýšení plateb za státní pojištěnce. V roce 2018 zaplatí stát 70 miliard,2017-01-05T20:35:00+01:00,"Za děti, důchodce či nezaměstnané zaplatí stát zdravotním pojišťovnám v roce 2018 bezmála 70 miliard korun.
V letech 2018 až 2020 přidá zdravotním pojišťovnám každý rok 3,5 miliardy korun navíc.",ČTK,http://domaci.ihned.cz/c1-65578420-ministri-se-dohodli-na-zvyseni-plateb-za-statni-pojistence-v-roce-2018-zaplati-stat-70-miliard?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/680/59389680/yChMvIHcpJxLgWb0KGVo7nBt2UEQ9kS1/jarvis_552582d2e4b0336d5f73abaf.jpeg,https://domaci.ihned.cz/65578420,domaci,0,2017-01-11T04:09:49.994417+00:00
65578350,"Ministr Brabec se pouští do boje se světelným smogem. Zřídí komisi, která zmapuje stav veřejného osvětlení a navrhne řešení",2017-01-05T19:51:00+01:00,"Pouhých několik desítek nejjasnějších hvězd uvidí dnes obyvatel hlavního města, když v noci vzhlédne k obloze.
Přitom kdyby noční oblohu pozoroval v přirozené tmě, napočítal by pouhým okem až tři tisíce svítících vesmírných objektů.
Prostředí, ve kterém prakticky nelze docílit úplné temnoty, ničí zdraví lidí i zvířat. Jak vrátit Čechům tmu, teď začíná řešit ministerstvo životního prostředí.",Veronika Neprašová,http://domaci.ihned.cz/c1-65578350-ministr-brabec-se-pousti-do-boje-se-svetelnym-smogem-zridi-komisi-ktera-zmapuje-stav-verejneho-osvetleni-a-navrhne-reseni?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/480/39516480/istuBCDEFGHIJjkl6Pbcfhr01SUw2ARm/NOC_KOSTELU18.JPG,https://domaci.ihned.cz/65578350,domaci,3,2017-01-11T04:09:49.994417+00:00
65577700,"Lékařská komora spolu s odbory tlačí na poslance, aby odmítli novelu zákona o vzdělávání lékařů",2017-01-05T16:56:00+01:00,"Lékařská komora požaduje od poslanců odmítnutí novely zákona o vzdělávání lékařů, kterou dříve zamítl Senát.
Sněmovna má příští týden rozhodnout, zda Senát přehlasuje.
Novela zákona si podle vlády kladla za cíl stabilizovat a zkvalitnit vzdělávací systém.",ČTK,http://domaci.ihned.cz/c1-65577700-lekarska-komora-spolu-s-odbory-tlaci-na-poslance-aby-odmitli-novelu-zakona-o-vzdelavani-lekaru?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/110/34818110/aistu3BCE7GHIJKLMOQWbcdehrzw2AVm/IMG_9984.JPG,https://domaci.ihned.cz/65577700,domaci,0,2017-01-11T04:09:49.994417+00:00
