article_id,post_id,poster_id,liker_id,like
65581670,3092348344,32281575,91941447,1
65581670,3092275049,228252766,228252766,1
65581670,3091960836,30123009,228252766,1
65581670,3091947534,31246304,91941447,1
65581670,3091936070,31246304,91941447,1
65581650,3092318166,143389305,70797098,1
65581650,3092318166,143389305,229636481,1
65581650,3092193376,229636481,70797098,1
65581650,3092193376,229636481,229636481,1
65581650,3092128992,143389305,229636481,1
65581650,3092021726,143389305,70797098,1
65581650,3092021726,143389305,229636481,1
65581550,3092439471,116356206,70253048,1
65581550,3092331233,99662817,97264878,1
65581550,3092047034,161798922,70253048,1
65581550,3091933249,161798922,97313807,1
65581550,3091933249,161798922,133374520,1
65581430,3091693397,107587388,136176637,1
65580880,3091925789,174034675,237808934,1
65580880,3091302143,64339947,98037776,1
65580880,3091302143,64339947,136245180,1
65580880,3091302143,64339947,174034675,1
65580880,3091302143,64339947,237808934,1
65580880,3091302056,123756487,98037776,1
65580880,3091302056,123756487,136245180,1
65580880,3091302056,123756487,139636134,1
65580880,3091302056,123756487,174034675,1
65580880,3091302056,123756487,237808934,1
65580880,3091298264,64339947,136245180,1
65580880,3091298264,64339947,237808934,1
65580880,3091286450,85689225,136245180,1
65580880,3091286450,85689225,150607941,1
65580880,3091286450,85689225,237808934,1
65580860,3090883342,229636481,70253048,1
65580860,3090883342,229636481,229636481,1
65580830,3090617542,229636481,229636481,1
65580830,3090537596,131072217,229636481,1
65580700,3090350968,133322085,120615681,1
65580680,3090954582,211938772,229636481,1
65580680,3090831059,183800265,139219129,1
65580680,3090756186,129768060,229636481,1
65580680,3090697407,211938772,139219129,1
65580680,3090697407,211938772,229636481,1
65580680,3090676693,237468946,229636481,1
65580680,3090561315,182093564,129768060,1
65580680,3090561315,182093564,237468946,1
65580680,3090469820,158914740,129768060,1
65580680,3090469820,158914740,139219129,1
65580680,3090447773,130897230,139219129,1
65580680,3090444242,81566741,139219129,1
65580680,3090444242,81566741,156357920,1
65580680,3090427554,237821798,229636481,1
65580680,3090399878,237821798,229636481,1
65580680,3090394116,123877799,202401942,1
65580680,3090367364,153674835,156357920,1
65580680,3090355110,123863075,111524972,1
65580680,3090343767,125769694,111524972,1
65580680,3090343767,125769694,139219129,1
65580680,3090343767,125769694,202401942,1
65580680,3090341130,151744913,151744913,1
65580680,3090341130,151744913,202401942,1
65580680,3090341130,151744913,229636481,1
65580680,3090335438,129768060,111524972,1
65580680,3090335438,129768060,139219129,1
65580680,3090335438,129768060,237468946,1
65580340,3090577212,227320272,143389305,1
65580340,3090384387,182498496,143389305,1
65580340,3090333368,182093564,9755254,1
65580340,3090287679,123731190,9755254,1
65580340,3090282016,137806887,60698484,1
65580340,3090244445,143389305,137806887,1
65580340,3090232942,132954791,52978745,1
65580340,3090232942,132954791,98525354,1
65579930,3090629599,97313807,137548790,1
65579930,3090282910,30123009,91941447,1
65579930,3090282910,30123009,97313807,1
65579930,3090281691,540256,91941447,1
65579930,3090281691,540256,100345582,1
65579930,3090281691,540256,137548790,1
65579930,3090281691,540256,184458605,1
65579930,3090258468,97313807,100345582,1
65579930,3090258468,97313807,137548790,1
65579930,3090257460,182093564,137548790,1
65579930,3090215634,97459552,161798922,1
65579930,3090139377,30123009,134393637,1
65579330,3088053453,213602405,92870595,1
65579240,3088926642,125769694,136176637,1
65579240,3088824054,121823170,100091398,1
65579240,3088818213,121823170,100091398,1
65579240,3088786620,236199229,237468946,1
65579240,3088752720,97313807,237468946,1
65579240,3088751661,106192024,237468946,1
65579240,3088740439,237468946,229636481,1
65579240,3088696252,30123009,136176637,1
65579240,3088696252,30123009,237468946,1
65579240,3088573985,106192024,136176637,1
65579240,3087947716,125769694,94517050,1
65579240,3087947716,125769694,131088016,1
65579240,3087947716,125769694,237468946,1
65579240,3087828400,121823170,100091398,1
65579240,3087828400,121823170,229636481,1
65579240,3087828400,121823170,236879123,1
65578700,3087288190,48481682,229636481,1
65578700,3086024590,237468946,229636481,1
65578700,3085773118,141324560,229636481,1
65578700,3085763172,32281575,229636481,1
65578700,3085763172,32281575,237468946,1
65578700,3085749714,123641341,70253048,1
65578700,3085749714,123641341,134393637,1
65578700,3085749714,123641341,229636481,1
65578700,3085726657,32281575,229636481,1
65578700,3085715709,123641341,229636481,1
65578700,3085713364,112416371,32281575,1
65578700,3085712409,123641341,70253048,1
65578700,3085712409,123641341,141324560,1
65578700,3085710925,112416371,32281575,1
65578700,3085710925,112416371,141324560,1
65578700,3085710925,112416371,229636481,1
65578700,3085710925,112416371,237468946,1
65578700,3085703465,123641341,70253048,1
65578700,3085703465,123641341,134393637,1
65578700,3085703465,123641341,229636481,1
65578700,3085699374,112416371,32281575,1
65578700,3085699374,112416371,237468946,1
65578700,3085688310,156216393,70253048,1
65578700,3085688310,156216393,152384563,1
65578700,3085688310,156216393,229636481,1
65578700,3085648475,121903948,152384563,1
65578700,3085638324,112416371,32281575,1
65578700,3085638324,112416371,141324560,1
65578700,3085638324,112416371,152384563,1
65578700,3085614990,94757607,152384563,1
65578430,3085502599,123731190,75768797,1
65578380,3088837095,229636481,229636481,1
65578380,3085991335,237711684,229636481,1
65577950,3085779941,229636481,229636481,1
65577950,3085698150,229636481,229636481,1
65577950,3085689855,229636481,229636481,1
65577950,3085684472,229636481,229636481,1
65577950,3085668783,229636481,229636481,1
65577950,3084934461,60698484,229636481,1
65577950,3084915045,188349544,60698484,1
65577950,3084915045,188349544,134706457,1
65577950,3084844766,188349544,229636481,1
65577950,3084742709,123890259,229636481,1
65577950,3084734263,118863518,229636481,1
65577950,3084715473,123890259,204650991,1
65577950,3084708531,124033019,60698484,1
65577950,3084708531,124033019,229636481,1
65577950,3084706998,124033019,60698484,1
65577950,3084706998,124033019,229636481,1
65577950,3084563914,102952876,123890259,1
65577470,3085733215,229636481,229636481,1
65577470,3085725948,229636481,70253048,1
65577470,3085725948,229636481,229636481,1
65577470,3085719115,229636481,139219129,1
65577470,3085719115,229636481,229636481,1
65577470,3085717845,229636481,229636481,1
65577470,3085689442,123641341,70253048,1
65577470,3085689442,123641341,139219129,1
65577470,3085689442,123641341,229636481,1
65577470,3085544156,146527032,229636481,1
