article_id,post_id,poster_id,liker_id,like
28661,3092846430,111191898,214381180,1
28661,3092834569,111191898,220184029,1
28661,3092795321,111191898,213976394,1
28661,3092770823,99127499,181265897,1
28661,3092746619,111191898,213976394,1
28661,3092746619,111191898,220184029,1
28661,3092746619,111191898,228420056,1
28661,3092746619,111191898,229630413,1
28661,3092698036,230817467,111191898,1
28661,3092698036,230817467,220184029,1
28661,3092698036,230817467,229630413,1
28661,3092669954,236538409,161713466,1
28661,3092663295,236538409,111191898,1
28661,3092663295,236538409,195863702,1
28661,3092663295,236538409,220184029,1
28661,3092663295,236538409,229630413,1
28661,3092646376,218437052,111191898,1
28661,3092646376,218437052,228420056,1
28661,3092632511,218437052,96998754,1
28661,3092632511,218437052,111191898,1
28661,3092630556,238220143,111191898,1
28661,3092630556,238220143,228420056,1
28661,3092628687,119932234,212643735,1
28661,3092619764,140101423,209652508,1
28661,3092619764,140101423,212643735,1
28661,3092610311,215089011,219905022,1
28661,3092596515,218437052,111191898,1
28661,3092580510,119932234,212643735,1
28661,3092570862,138755343,119841101,1
28661,3092570862,138755343,178383514,1
28661,3092570862,138755343,212643735,1
28661,3092567532,119932234,212643735,1
28661,3092567016,228320916,230817467,1
28661,3092556428,98870396,111191898,1
28661,3092547651,97562441,215089011,1
28661,3092545628,218437052,111191898,1
28661,3092545259,98870396,89808737,1
28661,3092542235,97562441,119932234,1
28661,3092542235,97562441,178383514,1
28661,3092542235,97562441,212643735,1
28661,3092536660,221826327,161713466,1
28654,3092136511,111155620,90903862,1
28654,3092059773,230817467,213976394,1
28654,3092051832,181643533,196185141,1
28654,3091982531,191374319,90903862,1
28654,3091981650,221826327,90903862,1
28654,3091981650,221826327,213976394,1
28654,3091932780,122149347,90903862,1
28658,3093635963,119020758,113839365,1
28658,3092276750,228320916,181712941,1
28658,3092153013,114479986,189646695,1
28658,3092117608,161981230,181712941,1
28658,3092111712,111155620,181712941,1
28658,3092084878,196185141,189646695,1
28658,3092084878,196185141,228420056,1
28658,3092072587,114209786,220184029,1
28658,3092004126,196185141,53555218,1
28658,3092004126,196185141,114209786,1
28658,3092004126,196185141,157406052,1
28658,3092004126,196185141,189646695,1
28658,3092004126,196185141,202672755,1
28658,3091966323,231625933,189646695,1
28658,3091966323,231625933,228420056,1
28658,3091952784,119020758,113839365,1
28658,3091952784,119020758,181265897,1
28658,3091952784,119020758,216556609,1
28658,3091823877,116388758,53555218,1
28658,3091823877,116388758,189646695,1
28658,3091823877,116388758,213976394,1
28658,3091417076,230817467,181265897,1
28658,3091358326,181265897,82583996,1
28658,3091322198,189646695,53555218,1
28658,3091322198,189646695,116388758,1
28658,3091322198,189646695,185296256,1
28658,3091322198,189646695,202672755,1
28658,3091264455,114479986,111369180,1
28658,3091264455,114479986,114209786,1
28658,3091264455,114479986,116388758,1
28657,3092061370,218437052,220184029,1
28657,3092024634,97727629,51753620,1
28657,3092024634,97727629,185249218,1
28657,3091784370,181643533,51753620,1
28657,3091352763,228420056,181712941,1
28657,3091334615,114209786,116388758,1
28657,3091334615,114209786,220184029,1
28657,3091311767,111538618,185249218,1
28657,3091124730,111369180,116388758,1
28657,3090973644,236538409,202672755,1
28657,3090936990,114209786,220184029,1
28657,3090863371,111031159,51753620,1
28657,3090863371,111031159,82583996,1
28657,3090863371,111031159,111192026,1
28657,3090863371,111031159,148528713,1
28657,3090863371,111031159,185249218,1
28657,3090852448,98358194,51753620,1
28657,3090852448,98358194,111192026,1
28657,3090852448,98358194,181643533,1
28657,3090852448,98358194,185249218,1
28656,3091003567,43236233,114209786,1
28656,3090896102,114209786,181265897,1
28656,3090759573,112301582,116388758,1
28656,3090728900,116221803,111177522,1
28656,3090692731,114209786,181265897,1
28655,3094551651,236639992,119502313,1
28655,3092984735,238244648,119502313,1
28655,3092984735,238244648,124066876,1
28655,3092984735,238244648,219730076,1
28655,3092902530,68107284,236639992,1
28655,3092676925,157406052,119502313,1
28655,3092676925,157406052,236639992,1
28655,3092604685,152147509,219730076,1
28655,3092448805,236639992,119502313,1
28655,3092389507,161713466,68107284,1
28655,3092295066,187641475,119502313,1
28655,3092295066,187641475,124066876,1
28655,3092295066,187641475,236639992,1
28655,3092128555,238183232,119502313,1
28655,3092128555,238183232,157406052,1
28655,3092128555,238183232,236639992,1
28653,3090232380,196185141,161981230,1
28653,3090125324,113839365,139364656,1
28653,3089614603,221826327,213976394,1
28653,3089575326,231625933,116388758,1
28653,3089574340,180223155,213976394,1
28653,3089572063,213976394,180223155,1
28653,3089409672,111257399,236639992,1
28652,3090509581,97243123,119932234,1
28652,3090504525,97243123,119932234,1
28652,3090504525,97243123,151155638,1
28652,3090503978,111158014,97243123,1
28652,3090503978,111158014,119932234,1
28652,3090335268,111843080,119932234,1
28652,3090166098,98418707,119932234,1
28652,3089193872,111185863,97243123,1
28652,3089193872,111185863,112301582,1
28652,3089193872,111185863,119632169,1
28652,3089193872,111185863,181265897,1
28652,3089193872,111185863,183076541,1
28652,3088918601,111698559,209652508,1
28652,3088753637,230817467,111191898,1
28652,3088733009,111698559,209652508,1
28652,3088727086,140101423,95966064,1
28652,3088727086,140101423,112301582,1
28652,3088727086,140101423,202672755,1
28652,3088727086,140101423,209652508,1
28652,3088713626,111698559,119632169,1
28652,3088713626,111698559,155742647,1
28652,3088713626,111698559,181265897,1
28652,3088713626,111698559,209652508,1
28652,3088402499,43236233,155742647,1
28652,3088264896,209652508,155742647,1
28652,3088220638,200009445,230479041,1
28650,3090376110,219991395,202672755,1
28650,3090365959,136650558,53424074,1
28650,3090361710,219991395,202672755,1
28650,3090358627,136650558,119932234,1
28650,3090084957,181643533,53424074,1
28650,3089249232,136114316,119932234,1
28650,3088834814,116388758,228420056,1
28650,3088830049,153522133,119632169,1
28650,3088830049,153522133,152525496,1
28650,3088736394,140101423,181265897,1
28650,3088208866,189646695,96998754,1
28650,3088208866,189646695,116388758,1
28650,3088012774,202672755,148528713,1
28650,3088012774,202672755,189646695,1
28650,3087899223,111191898,119932234,1
28650,3087871408,96998754,116388758,1
28650,3087871408,96998754,180223155,1
28650,3087871408,96998754,189646695,1
28650,3087794803,111521249,189646695,1
28650,3087773143,99601024,112561482,1
28650,3087773143,99601024,116388758,1
28650,3087773143,99601024,189646695,1
28650,3087694837,228420056,116388758,1
28650,3087672273,161713466,202672755,1
28649,3087613410,191374319,116388758,1
28649,3087558829,202683249,116388758,1
28649,3087309614,127782404,151155638,1
28649,3087288664,43236233,114479986,1
28649,3087288664,43236233,151155638,1
28649,3087288664,43236233,196185141,1
28649,3087288664,43236233,202672755,1
28649,3087288664,43236233,213976394,1
28649,3087288664,43236233,233406812,1
28649,3087288664,43236233,236538409,1
28649,3087281518,191374319,116388758,1
28649,3087281518,191374319,213976394,1
28649,3087274054,116388758,127782404,1
28649,3087274054,116388758,202672755,1
28649,3087274054,116388758,202683249,1
28649,3086741799,195863702,116388758,1
28649,3086741799,195863702,127782404,1
28649,3086741799,195863702,157406052,1
28649,3086741799,195863702,213976394,1
28649,3086741799,195863702,233406812,1
28649,3086597537,189646695,157406052,1
28649,3086501312,111155620,116388758,1
28649,3086501312,111155620,151155638,1
28649,3086261649,221826327,127782404,1
28649,3086261649,221826327,202683249,1
28649,3086182397,111177522,127782404,1
28649,3085970718,116388758,111191898,1
28649,3085970718,116388758,112561482,1
28649,3085945976,223524611,181712941,1
28649,3085924341,218437052,112561482,1
28649,3085881433,230817467,157406052,1
28649,3085874491,223524611,127782404,1
28649,3085832013,221826327,89808737,1
28649,3085832013,221826327,111191898,1
28649,3085832013,221826327,112561482,1
28649,3085832013,221826327,157406052,1
28648,3088768958,218437052,70797098,1
28648,3088410113,111698559,116388758,1
28648,3088230461,189646695,70797098,1
28648,3088186158,181712941,70797098,1
28648,3088186158,181712941,189646695,1
28648,3087396321,231625933,70797098,1
28648,3087362093,218437052,70797098,1
28648,3087341784,195863702,213976394,1
28648,3086733719,134143499,212643735,1
28648,3086706331,189646695,139011846,1
28648,3086706331,189646695,216750384,1
28648,3086706331,189646695,228420056,1
28648,3086706331,189646695,236639992,1
28648,3086620226,134143499,212643735,1
28648,3086596340,221826327,189646695,1
28648,3086567668,221826327,189646695,1
28648,3086567668,221826327,195863702,1
28648,3086553594,236639992,189646695,1
28648,3086544690,236639992,119502313,1
28648,3086544690,236639992,181712941,1
28648,3086544690,236639992,189646695,1
28648,3086544690,236639992,213976394,1
28648,3086544690,236639992,228420056,1
28648,3086535375,231625933,180223155,1
28648,3086535375,231625933,189646695,1
28648,3086494097,236639992,189646695,1
28648,3086494097,236639992,213976394,1
28648,3086484956,236639992,231625933,1
28648,3086479282,236639992,119502313,1
28648,3086479282,236639992,161713466,1
28648,3086479282,236639992,189646695,1
28648,3086479282,236639992,211682517,1
28648,3086479282,236639992,231625933,1
28648,3086333819,236639992,119502313,1
28648,3086333819,236639992,189646695,1
28648,3086272974,180223155,119502313,1
28648,3086272974,180223155,228420056,1
