id,article_id,date,message,likes,dislikes,user_id,user_name,user_username,user_location,user_reputation,scraped_date
3093724232,28661,2017-01-11T10:01:15+00:00,"Velké schizma je usazeno v hlavě p. Kučery, bohužel nejen jeho, on je pouhým rozsévačem nenávisti proti Rusku, nic víc. Přestože my, resp. naše geny, máme dlouholeté zkušenosti s německou nadvládou, které nás zbavili až Rusové po 2. svět. válce, tak se najdou opět politici, kteří chtějí, aby nás, resp. celou Evropu, znovu ovládli Němci. Jediným garantem vyváženosti v Evropě je i svobodné Rusko, myslím celé území post Kyjevské, post Carské Rusy, kde si lidé vzájemně rozumí, vzájemně se žení a vdávají. Hlavně když tam nebudou strkat své přechytralé názory tzv. německé Evropy. Evropský parlament, po odchodu Britů, budou ovládat Němci, to je jasné. Němci dodali Rusům německý Marx-Engelsovský komunismus jen aby je rozeštvali, to ví každý, doufám, že i p. Kučera atd., atd.. Nečtu žádné ruské servery, ani nevím kde jsou, pouze vidím tu jednostrannou protiruskou propandu na př.v ČT, kde jsem dlouho neviděl našeho největšího znalce východních zemí p. Petránka. Jak často on loni vystupoval u p. Moravce??? Doufám, že p. Trump, tím i Němci, se přestane vměšovat do Ortodoxních území a oni se tam budou muset domluvit sami co a jak budou dělat dál, bez Mongolských, Polských, Napoleonových, pak Německých okupantů.",0,0,124587308,idealista,disqus_d1GmSXZ4Rq,,1.7017149999999999,2017-01-12T00:36:20.910653+00:00
3093719065,28661,2017-01-11T09:53:52+00:00,"Jisteze, Milosek byl jen jednim z mnoha nalhavacu.

nic to nemeni na tom, ze Bush lhal - stejne jako lhal a lze Zeman. Volicum milose Zemana lhani u Bushe vadi, ale lhani u sveho Miloska jim nevadi.",0,0,120580944,scallop,disqus_cyIPnvR8Op,,4.859222000000001,2017-01-12T00:36:20.910653+00:00
3093717219,28661,2017-01-11T09:51:13+00:00,"Uznavam, ze lepsi reakci jste napsat nemohl.",0,0,120580944,scallop,disqus_cyIPnvR8Op,,4.859222000000001,2017-01-12T00:36:20.910653+00:00
3093710779,28661,2017-01-11T09:42:11+00:00,"Co pijete tak brzo po ránu?
Nebylo to kapánek říznuté metanolem,protože se vám pletou dojmy s pojmy?",0,0,218437052,OldCzech,oldczech,,1.410618,2017-01-12T00:36:20.910653+00:00
3093692610,28661,2017-01-11T09:16:16+00:00,"Jednodušší bude vypsat, co tam pravda je.",0,0,162055983,Pavel13,disqus_XR8X8IVEfv,,1.83585,2017-01-12T00:36:20.910653+00:00
3093663642,28661,2017-01-11T08:34:24+00:00,"Menzel by klidně mohl natočit film Ostře sledovaný internet
Jak výpravčí Romancovová dává razítka, tohle je hoax a tohle zase ne.

Klikněte si na jakýkoliv server jakéhokoliv dne a najdete tam formulace typu:....nejmenovaný zdroj sdělil....údajně....pravděpodobně....nelze vyloučit, že (zrovna tady ) tedy nedoložené či nedoložitelné polopravdy a možná i hoaxy.

Je to totální nesmysl, který spolutvořili parazité a pornomanekýni z Evropskýcch hodnot.",0,0,236538409,joe disqus,disqus_YgaRpTiHZK,,1.232323,2017-01-12T00:36:20.910653+00:00
3093656966,28661,2017-01-11T08:24:26+00:00,"Pan Zeman nám vnucuje nesprávný výklad slova cenzura. To je podle mne zásah do obsahu díla nebo omezení jeho zveřejnění. V době nedávno minulé se tak třeba v ""závadných"" ve filmech sříhalo, měnilo či přetáčelo nebo se zavřely do trezoru celé. Pokud by mohl jít ven v podobě, jakou mu chtěli dát jeho tvůrci a Rudé právo ho jen doprovodilo odsuzující kritikou (tedy reklamou), o cenzuru by nešlo.",0,0,162055983,Pavel13,disqus_XR8X8IVEfv,,1.83585,2017-01-12T00:36:20.910653+00:00
3093640477,28661,2017-01-11T07:59:30+00:00,"Jo, a také mu podstrčili lež o ZHN v Iráku.",0,0,195863702,zurčící potok,zurcpotok,,2.9949730000000003,2017-01-12T00:36:20.910653+00:00
3093632851,28661,2017-01-11T07:47:58+00:00,"Excelentní, skoro až prorocké a bohužel velmi pravděpodobné, děkuji Vám pane Kučera!",0,0,238298090,Pavel S.,disqus_sIU23Ah9tt,,1.232124,2017-01-12T00:36:20.910653+00:00
3093627344,28661,2017-01-11T07:39:30+00:00,"Slovanské národy (Bělorusové, Ukrajinci) vítali ten germánsko-balkánský pakt jako osvoboditele od nadvlády nenáviděné mongolsko-vikingské hordy pod velením šíleného Gruzínce Stalinchána. My sami máme slovanské krve jen část.",0,0,162055983,Pavel13,disqus_XR8X8IVEfv,,1.83585,2017-01-12T00:36:20.910653+00:00
